,ESA_cell_season,Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil.moisture,Additional.information,latlon,Loss_Day,Plot_unique,TBI_S,TBI_k,soiltemp_mean,soiltemp_GDD5,soiltemp_source,airtemp_mean,airtemp_GDD5,airtemp_source,moisture_mean,moisture_mean_source,CHELSA_year_temp,CHELSA_summer_temp,CHELSA_winter_temp,CHELSA_year_precip,CHELSA_summer_precip,CHELSA_winter_precip,ESA_moisture,ESA_moisture_winter,ESA_moisture_year,ESA_cell,is.region,is.site,is.plot,is.site.plot,airtemp_mean_var_level,soiltemp_mean_var_level,moisture_mean_var_level,CHELSA_summer_temp_var_level,CHELSA_summer_precip_var_level,ESA_moisture_var_level
699,120324_Year,Fin_R563,Rooibos,Finland,FIN_331,FIN_331_Year,69.05681794,20.81039828,649,2.174,8,11-08-16,21-08-17,375,Year,1.35298,No,1.817,1.35298,0.255376995,None,Anna-Maria Virkkala,NA,,69.05681794_20.81039828,0.000681005,FIN_331_Year_Year,0.289786223,0.003311801,NA,0,Temp_logger,1.563295434,1011.918833,Temp_logger,18.42,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
700,120324_Year,Fin_R930,Rooibos,Finland,FIN_835,FIN_835_Year,69.06807005,20.82236411,704,2.241,8,12-08-16,28-06-17,320,Year,1.55,No,1.88,1.55,0.175531915,None,Anna-Maria Virkkala,NA,,69.06807005_20.82236411,0.000548537,FIN_835_Year_Year,0.341905981,0.002138888,NA,0,Temp_logger,1.859266608,1056.412583,Temp_logger,22.08,Moisture Probe,-2.5,9.7,-13.6,50.6,18.3,11.9,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
701,120324_Year,Fin_G277,Green,Finland,FIN_331,FIN_331_Year,69.05681794,20.81039828,649,2.031,8,11-08-16,21-08-17,375,Year,0.68943,No,1.715,0.68943,0.598,None,Anna-Maria Virkkala,NA,,69.05681794_20.81039828,0.001594667,FIN_331_Year_Year,0.289786223,0.003311801,NA,0,Temp_logger,1.563295434,1011.918833,Temp_logger,18.42,Moisture Probe,-1.7,10.5,-12.9,47.2,16.8,11.2,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
702,120324_Year,Fin_G631,Green,Finland,FIN_835,FIN_835_Year,69.06807005,20.82236411,704,2.071,8,12-08-16,28-06-17,320,Year,0.772,No,1.753,0.772,0.559612094,None,Anna-Maria Virkkala,NA,,69.06807005_20.82236411,0.001748788,FIN_835_Year_Year,0.341905981,0.002138888,NA,0,Temp_logger,1.859266608,1056.412583,Temp_logger,22.08,Moisture Probe,-2.5,9.7,-13.6,50.6,18.3,11.9,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
703,120324_Year,Fin_G639,Green,Finland,FIN_835,FIN_835_Year,69.06807005,20.82236411,704,2.092,8,12-08-16,24-08-17,377,Year,0.73611,No,1.773,0.73611,0.584822335,None,Anna-Maria Virkkala,NA,,69.06807005_20.82236411,0.001551253,FIN_835_Year_Year,0.341905981,0.002138888,NA,0,Temp_logger,1.859266608,1056.412583,Temp_logger,22.08,Moisture Probe,-2.5,9.7,-13.6,50.6,18.3,11.9,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
704,120324_Year,Fin_R744,Rooibos,Finland,FIN_349,FIN_349_Year,69.06484872,20.80817517,618,2.182,8,12-08-16,24-08-17,377,Year,1.30229,No,1.825,1.30229,0.286416438,None,Anna-Maria Virkkala,NA,,69.06484872_20.80817517,0.000759725,FIN_349_Year_Year,0.247589409,0.004134966,NA,0,Temp_logger,1.476694959,1072.064333,Temp_logger,32.8,Moisture Probe,-1.6,10.7,-12.7,46.4,16.3,11,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
705,120324_Year,Fin_G857,Green,Finland,FIN_835,FIN_835_Year,69.06807005,20.82236411,704,2.073,8,12-08-16,28-06-17,320,Year,0.8,No,1.755,0.8,0.544159544,None,Anna-Maria Virkkala,NA,,69.06807005_20.82236411,0.001700499,FIN_835_Year_Year,0.341905981,0.002138888,NA,0,Temp_logger,1.859266608,1056.412583,Temp_logger,22.08,Moisture Probe,-2.5,9.7,-13.6,50.6,18.3,11.9,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
706,120324_Year,Fin_R751,Rooibos,Finland,FIN_349,FIN_349_Year,69.06484872,20.80817517,618,2.147,8,12-08-16,24-08-17,377,Year,1.18983,No,1.792,1.18983,0.336032366,None,Anna-Maria Virkkala,NA,,69.06484872_20.80817517,0.000891333,FIN_349_Year_Year,0.247589409,0.004134966,NA,0,Temp_logger,1.476694959,1072.064333,Temp_logger,32.8,Moisture Probe,-1.6,10.7,-12.7,46.4,16.3,11,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
707,120324_Year,Fin_G706,Green,Finland,FIN_511,FIN_511_Year,69.06588757,20.81287876,643,2.11,8,12-08-16,28-06-17,320,Year,0.7936,No,1.791,0.7936,0.556895589,None,Anna-Maria Virkkala,NA,,69.06588757_20.81287876,0.001740299,FIN_511_Year_Year,0.332662891,0.002280492,NA,0,Temp_logger,2.027864835,1100.5635,Temp_logger,15.46,Moisture Probe,-1.7,10.5,-12.8,48.5,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
708,120324_Year,Fin_R758,Rooibos,Finland,FIN_349,FIN_349_Year,69.06484872,20.80817517,618,2.223,8,12-08-16,24-08-17,377,Year,1.18967,No,1.863,1.18967,0.361422437,None,Anna-Maria Virkkala,NA,,69.06484872_20.80817517,0.00095868,FIN_349_Year_Year,0.247589409,0.004134966,NA,0,Temp_logger,1.476694959,1072.064333,Temp_logger,32.8,Moisture Probe,-1.6,10.7,-12.7,46.4,16.3,11,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
