Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
Hrr2,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.16,8,24/07/2015,23/07/2016,365,Year,1.918,No,1.804,1.79446,0.01,None,Haydn Thomas,,
Hrr3,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.20,8,24/07/2015,23/07/2016,365,Year,1.978,No,1.842,1.85446,-0.01,None,Haydn Thomas,,
Hrr4,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.27,8,24/07/2015,23/07/2016,365,Year,1.733,No,1.908,1.60946,0.16,None,Haydn Thomas,,
Hrr5,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.14,8,24/07/2015,23/07/2016,365,Year,1.813,No,1.785,1.68946,0.05,None,Haydn Thomas,,
Hrr6,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.27,8,24/07/2015,23/07/2016,365,Year,NA,No,1.908,#VALUE!,NA,None,Haydn Thomas,,
Hrr7,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.21,8,24/07/2015,23/07/2016,365,Year,NA,No,1.851,#VALUE!,NA,None,Haydn Thomas,,
Hrr8,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.18,8,24/07/2015,23/07/2016,365,Year,NA,No,1.823,#VALUE!,NA,None,Haydn Thomas,,
Hrr9,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.18,8,24/07/2015,23/07/2016,365,Year,1.762,No,1.823,1.63846,0.10,None,Haydn Thomas,,
Hrr10,Rooibos,QHI,Herschel ridge,HR_HT_1yr,69.57675,-138.90987,27,2.21,8,24/07/2015,23/07/2016,365,Year,1.649,No,1.851,1.52546,0.18,None,Haydn Thomas,,
Hsg1,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.11,8,24/07/2015,23/07/2016,365,Year,NA,No,1.791,#VALUE!,NA,None,Haydn Thomas,,
Hsg2,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.18,8,24/07/2015,23/07/2016,365,Year,1.077,No,1.858,0.95384,0.49,None,Haydn Thomas,,
Hsg3,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.13,8,24/07/2015,23/07/2016,365,Year,0.980,No,1.810,0.85684,0.53,None,Haydn Thomas,,
Hsg4,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.04,8,24/07/2015,23/07/2016,365,Year,0.945,No,1.723,0.82184,0.52,None,Haydn Thomas,,
Hsg5,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.08,8,24/07/2015,23/07/2016,365,Year,0.854,No,1.762,0.73084,0.59,None,Haydn Thomas,,
Hsg6,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.20,8,24/07/2015,23/07/2016,365,Year,1.126,No,1.877,1.00284,0.47,None,Haydn Thomas,,
Hsg7,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.04,8,24/07/2015,23/07/2016,365,Year,0.966,No,1.723,0.84284,0.51,None,Haydn Thomas,,
Hsg8,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,1.98,8,24/07/2015,23/07/2016,365,Year,NA,No,1.666,#VALUE!,NA,None,Haydn Thomas,,
Hsg9,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.22,8,24/07/2015,23/07/2016,365,Year,NA,No,1.896,#VALUE!,NA,None,Haydn Thomas,,
Hsg10,Green,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,1.99,8,24/07/2015,23/07/2016,365,Year,0.851,No,1.675,0.72784,0.57,None,Haydn Thomas,,
Hsr1,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.27,8,24/07/2015,23/07/2016,365,Year,1.845,No,1.908,1.72146,0.10,None,Haydn Thomas,,
Hsr2,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.24,8,24/07/2015,23/07/2016,365,Year,1.744,No,1.879,1.62046,0.14,None,Haydn Thomas,,
Hsr3,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.24,8,24/07/2015,23/07/2016,365,Year,1.857,No,1.879,1.73346,0.08,None,Haydn Thomas,,
Hsr4,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.14,8,24/07/2015,23/07/2016,365,Year,1.682,No,1.785,1.55846,0.13,None,Haydn Thomas,,
Hsr5,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.26,8,24/07/2015,23/07/2016,365,Year,1.826,No,1.898,1.70246,0.10,None,Haydn Thomas,,
Hsr6,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.23,8,24/07/2015,23/07/2016,365,Year,2.043,No,1.870,1.91946,-0.03,None,Haydn Thomas,,
Hsr7,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.23,8,24/07/2015,23/07/2016,365,Year,1.735,No,1.870,1.61146,0.14,None,Haydn Thomas,,
Hsr8,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.29,8,24/07/2015,23/07/2016,365,Year,1.750,No,1.927,1.62646,0.16,None,Haydn Thomas,,
Hsr9,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.26,8,24/07/2015,23/07/2016,365,Year,1.722,No,1.898,1.59846,0.16,None,Haydn Thomas,,
Hsr10,Rooibos,QHI,Herschel snow patch ,HS_HT_1yr,69.58284,-138.88944,41,2.22,8,24/07/2015,23/07/2016,365,Year,2.050,No,1.860,1.92646,-0.04,None,Haydn Thomas,,
Hkg1,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.10,8,24/07/2015,23/07/2016,365,Year,1.079,No,1.781,0.95584,0.46,None,Haydn Thomas,,
Hkg2,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.03,8,24/07/2015,23/07/2016,365,Year,1.052,No,1.714,0.92884,0.46,None,Haydn Thomas,,
Hkg3,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.14,8,24/07/2015,23/07/2016,365,Year,1.026,No,1.819,0.90284,0.50,None,Haydn Thomas,,
Hkg4,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.02,8,24/07/2015,23/07/2016,365,Year,1.113,No,1.704,0.98984,0.42,None,Haydn Thomas,,
