Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
H15SA(f)1,Salix arctica,Flower,Herschel island,H,0.478,21/07/16,,,,,0,1,1,1
H15SA(f)2,Salix arctica,Flower,Herschel island,H,0.483,21/07/16,,,,,0,1,1,1
H15SA(f)3,Salix arctica,Flower,Herschel island,H,0.514,21/07/16,,,,,0,1,1,1
H15SA(f)4,Salix arctica,Flower,Herschel island,H,0.522,21/07/16,,,,,0,1,1,1
H15SA(f)5,Salix arctica,Flower,Herschel island,H,0.487,21/07/16,,,,,0,1,1,1
H15SA(f)6,Salix arctica,Flower,Herschel island,H,0.48,21/07/16,,,,,0,1,1,1
H15SA(f)7,Salix arctica,Flower,Herschel island,H,0.468,21/07/16,,,,,0,1,1,1
H15SA(f)8,Salix arctica,Flower,Herschel island,H,0.515,21/07/16,,,,,0,1,1,1
H15SA(f)9,Salix arctica,Flower,Herschel island,H,0.485,21/07/16,,,,,0,1,1,1
H15SA(f)10,Salix arctica,Flower,Herschel island,H,0.482,21/07/16,,,,,0,1,1,1
H15SA(f)11,Salix arctica,Flower,Herschel island,H,0.536,21/07/16,12/07/16,2.98,0.382,2.587,0.393,0.29,0.27,0.28
H15SA(f)12,Salix arctica,Flower,Herschel island,H,0.512,21/07/16,12/07/16,2.679,0.364,2.293,0.386,0.29,0.25,0.27
H15SA(f)13,Salix arctica,Flower,Herschel island,H,0.537,21/07/16,12/07/16,2.964,0.413,2.534,0.43,0.23,0.2,0.22
H15SA(f)14,Salix arctica,Flower,Herschel island,H,0.508,21/07/16,12/07/16,2.852,0.401,2.44,0.412,0.21,0.19,0.2
H15SA(f)15,Salix arctica,Flower,Herschel island,H,0.475,21/07/16,12/07/16,2.732,0.348,2.368,0.364,0.27,0.23,0.25
