Litter ID,Species,Replicate,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15BG(s)12,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.522,21/08/15,12/08/16,2.872,0.436,2.426,0.446,0.16,0.15,0.16
K15BG(s)13,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.521,21/08/15,12/08/16,2.561,0.436,2.119,0.442,0.16,0.15,0.16
K15BG(s)14,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.499,21/08/15,12/08/16,2.754,0.425,2.314,0.44,0.15,0.12,0.13
K15BG(s)15,Betula glandulosa,1,Stem,Pika camp,Pika camp,0.476,21/08/15,12/08/16,2.676,0.413,2.262,0.414,0.13,0.13,0.13
K15BG(s)16,Betula glandulosa,2,Stem,Plateau,Kluane plateau,0.476,21/08/15,12/08/16,2.637,0.338,2.293,0.344,0.29,0.28,0.28
K15BG(s)17,Betula glandulosa,2,Stem,Plateau,Kluane plateau,0.515,21/08/15,12/08/16,2.707,0.416,2.271,0.436,0.19,0.15,0.17
K15BG(s)18,Betula glandulosa,2,Stem,Plateau,Kluane plateau,0.491,21/08/15,12/08/16,2.491,0.384,2.091,0.4,0.22,0.19,0.2
K15BG(s)19,Betula glandulosa,2,Stem,Plateau,Kluane plateau,0.533,21/08/15,12/08/16,2.738,0.444,2.286,0.452,0.17,0.15,0.16
K15BG(s)20,Betula glandulosa,2,Stem,Plateau,Kluane plateau,0.505,21/08/15,12/08/16,3.14,0.417,2.708,0.432,0.17,0.14,0.16
K15PF1,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.547,21/08/15,08/08/17,4.402,0.142,4.243,0.159,74%,71%,0.72
K15PF2,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.487,21/08/15,08/08/17,4.453,0.113,4.333,0.12,77%,75%,0.76
K15PF3,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.495,21/08/15,08/08/17,4.385,0.134,4.226,0.159,73%,68%,0.7
K15PF4,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.523,21/08/15,08/08/17,4.261,0.143,4.099,0.162,73%,69%,0.71
K15PF5,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.543,21/08/15,08/08/17,4.237,0.112,4.112,0.125,79%,77%,0.78
K15PF6,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.47,21/08/15,08/08/17,4.167,0.061,4.084,0.083,87%,82%,0.85
K15PF7,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.538,21/08/15,08/08/17,4.112,0.09,3.995,0.117,83%,78%,0.81
K15PF8,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.509,21/08/15,08/08/17,4.371,0.121,4.243,0.128,76%,75%,0.76
K15PF9,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.492,21/08/15,08/08/17,4.53,0.161,4.363,0.167,67%,66%,0.67
K15PF10,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.533,21/08/15,08/08/17,4.572,0.165,4.403,0.169,69%,68%,0.69
K15PF11,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.527,21/08/15,12/08/16,4.45,0.175,4.215,0.235,0.67,0.55,0.61
K15PF12,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.487,21/08/15,12/08/16,4.51,0.195,4.285,0.225,0.6,0.54,0.57
K15PF13,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.515,21/08/15,12/08/16,4.366,0.198,4.122,0.244,0.62,0.53,0.57
K15PF14,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.503,21/08/15,12/08/16,4.401,0.149,4.202,0.199,0.7,0.6,0.65
K15PF15,Petacites frigidus,1,Leaf,Pika camp,Pika camp,0.471,21/08/15,12/08/16,4.483,0.126,4.31,0.173,0.73,0.63,0.68
K15PF16,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.527,21/08/15,12/08/16,4.619,0.205,4.363,0.256,0.61,0.51,0.56
K15PF17,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.51,21/08/15,12/08/16,4.441,0.22,4.192,0.249,0.57,0.51,0.54
K15PF18,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.472,21/08/15,12/08/16,4.611,0.153,4.387,0.224,0.68,0.53,0.6
K15PF19,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.542,21/08/15,12/08/16,4.436,0.182,4.221,0.215,0.66,0.6,0.63
K15PF20,Petacites frigidus,2,Leaf,Pika camp,Pika camp,0.53,21/08/15,12/08/16,4.348,0.189,4.127,0.221,0.64,0.58,0.61
K15RG(s)1,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.539,21/08/15,08/08/17,2.606,0.445,2.154,0.452,17%,16%,0.17
K15RG(s)2,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.46,21/08/15,08/08/17,2.528,0.359,2.158,0.37,22%,20%,0.21
K15RG(s)3,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.534,21/08/15,08/08/17,2.592,0.419,2.171,0.421,22%,21%,0.21
K15RG(s)4,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.493,21/08/15,08/08/17,2.569,0.403,2.163,0.406,18%,18%,0.18
K15RG(s)5,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.465,21/08/15,08/08/17,2.661,0.363,2.297,0.364,22%,22%,0.22
K15RG(s)6,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.54,21/08/15,08/08/17,3.104,0.384,2.717,0.387,29%,28%,0.29
K15RG(s)7,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.501,21/08/15,08/08/17,2.776,0.416,2.361,0.415,17%,17%,0.17
K15RG(s)8,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.542,21/08/15,08/08/17,2.616,0.459,2.146,0.47,15%,13%,0.14
K15RG(s)9,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.499,21/08/15,08/08/17,2.55,0.411,2.134,0.416,18%,17%,0.17
K15RG(s)10,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.534,21/08/15,08/08/17,3.254,0.474,2.77,0.484,11%,9%,0.1
K15RG(s)11,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.525,21/08/15,12/08/16,3.068,0.442,2.619,0.449,0.16,0.14,0.15
K15RG(s)12,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.477,21/08/15,12/08/16,3.004,0.426,2.575,0.429,0.11,0.1,0.1
K15RG(s)13,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.49,21/08/15,12/08/16,3.129,0.401,2.727,0.402,0.18,0.18,0.18
K15RG(s)14,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.545,21/08/15,12/08/16,2.944,0.477,2.458,0.486,0.12,0.11,0.12
K15RG(s)15,Rhododendron groenlandica,1,Stem,Pika camp,Pika camp,0.487,21/08/15,12/08/16,2.579,0.429,2.146,0.433,0.12,0.11,0.11
K15RG(s)16,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.486,21/08/15,12/08/16,3.074,0.424,2.625,0.449,0.13,0.08,0.1
K15RG(s)17,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.496,21/08/15,12/08/16,2.945,0.464,2.466,0.479,0.06,0.03,0.05
K15RG(s)18,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.546,21/08/15,12/08/16,3.069,0.46,2.575,0.494,0.16,0.1,0.13
K15RG(s)19,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.529,21/08/15,12/08/16,2.72,0.448,2.266,0.454,0.15,0.14,0.15
K15RG(s)20,Rhododendron groenlandica,2,Stem,Pika camp,Pika camp,0.494,21/08/15,12/08/16,3.069,0.434,2.63,0.439,0.12,0.11,0.12
K15SA(f)1,Salix arctica,1,Flower,Pika camp,Pika camp,0.48,21/08/15,08/08/17,2.928,0.323,2.592,0.336,33%,30%,0.31
K15SA(f)2,Salix arctica,1,Flower,Pika camp,Pika camp,0.514,21/08/15,08/08/17,2.941,0.311,2.618,0.323,39%,37%,0.38
K15SA(f)3,Salix arctica,1,Flower,Pika camp,Pika camp,0.537,21/08/15,08/08/17,2.827,0.325,2.489,0.338,39%,37%,0.38
K15SA(f)4,Salix arctica,1,Flower,Pika camp,Pika camp,0.481,21/08/15,08/08/17,2.866,0.248,2.609,0.257,48%,47%,0.48
K15SA(f)5,Salix arctica,1,Flower,Pika camp,Pika camp,0.463,21/08/15,08/08/17,2.827,0.253,2.573,0.254,45%,45%,0.45
K15SA(f)6,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.469,21/08/15,08/08/17,2.716,0.205,2.514,0.202,56%,57%,0.57
K15SA(f)7,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.538,21/08/15,08/08/17,2.52,0.231,2.287,0.233,57%,57%,0.57
K15SA(f)8,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.489,21/08/15,08/08/17,2.594,0.197,2.39,0.204,60%,58%,0.59
K15SA(f)9,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.491,21/08/15,08/08/17,2.698,0.187,2.496,0.202,62%,59%,0.6
K15SA(f)10,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.516,21/08/15,08/08/17,2.579,0.207,2.366,0.213,60%,59%,0.59
K15SA(f)11,Salix arctica,1,Flower,Pika camp,Pika camp,0.546,21/08/15,12/08/16,2.754,0.392,2.341,0.413,0.28,0.24,0.26
K15SA(f)12,Salix arctica,1,Flower,Pika camp,Pika camp,0.546,21/08/15,12/08/16,2.945,0.355,2.575,0.37,0.35,0.32,0.34
K15SA(f)13,Salix arctica,1,Flower,Pika camp,Pika camp,0.523,21/08/15,12/08/16,2.94,0.301,2.627,0.313,0.42,0.4,0.41
K15SA(f)14,Salix arctica,1,Flower,Pika camp,Pika camp,0.493,21/08/15,12/08/16,2.783,0.297,2.471,0.312,0.4,0.37,0.38
K15SA(f)15,Salix arctica,1,Flower,Pika camp,Pika camp,0.53,21/08/15,12/08/16,2.658,0.353,2.286,0.372,0.33,0.3,0.32
K15SA(f)16,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.515,21/08/15,12/08/16,2.78,0.251,2.507,0.273,0.51,0.47,0.49
K15SA(f)17,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.475,21/08/15,12/08/16,2.857,0.235,2.607,0.25,0.51,0.47,0.49
K15SA(f)18,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.529,21/08/15,12/08/16,2.999,0.286,2.702,0.297,0.46,0.44,0.45
K15SA(f)19,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.515,21/08/15,12/08/16,2.834,0.281,2.541,0.293,0.45,0.43,0.44
K15SA(f)20,Salix arctica,2,Flower,Kluane Plateau,Kluane Plateau,0.508,21/08/15,12/08/16,3.121,0.243,2.868,0.253,0.52,0.5,0.51
K15SP(s)1,Salix pulchra,1,Stem,Pika camp,Pika camp,0.533,21/08/15,08/08/17,3.026,0.366,2.657,0.369,31%,31%,0.31
K15SP(s)2,Salix pulchra,1,Stem,Pika camp,Pika camp,0.511,21/08/15,08/08/17,3.017,0.346,2.659,0.358,32%,30%,0.31
K15SP(s)3,Salix pulchra,1,Stem,Pika camp,Pika camp,0.515,21/08/15,08/08/17,3.176,0.354,2.799,0.377,31%,27%,0.29
K15SP(s)4,Salix pulchra,1,Stem,Pika camp,Pika camp,0.52,21/08/15,08/08/17,3.111,0.351,2.751,0.36,33%,31%,0.32
K15SP(s)5,Salix pulchra,1,Stem,Pika camp,Pika camp,0.532,21/08/15,08/08/17,3.002,0.402,2.588,0.414,24%,22%,0.23
K15SP(s)6,Salix pulchra,2,Stem,Pika camp,Pika camp,0.496,21/08/15,08/08/17,2.371,0.384,1.979,0.392,23%,21%,0.22
K15SP(s)7,Salix pulchra,2,Stem,Pika camp,Pika camp,0.508,21/08/15,08/08/17,2.451,0.381,2.061,0.39,25%,23%,0.24
K15SP(s)8,Salix pulchra,2,Stem,Pika camp,Pika camp,0.545,21/08/15,08/08/17,2.345,0.385,1.958,0.387,29%,29%,0.29
K15SP(s)9,Salix pulchra,2,Stem,Pika camp,Pika camp,0.48,21/08/15,08/08/17,2.556,0.368,2.184,0.372,23%,23%,0.23
K15SP(s)10,Salix pulchra,2,Stem,Pika camp,Pika camp,0.547,21/08/15,08/08/17,2.76,0.453,2.298,0.462,17%,16%,0.16
K15SP(s)11,Salix pulchra,1,Stem,Pika camp,Pika camp,0.495,21/08/15,12/08/16,3.113,0.379,2.732,0.381,0.23,0.23,0.23
K15SP(s)12,Salix pulchra,1,Stem,Pika camp,Pika camp,0.464,21/08/15,12/08/16,2.565,0.373,2.182,0.383,0.2,0.17,0.19
K15SP(s)13,Salix pulchra,1,Stem,Pika camp,Pika camp,0.522,21/08/15,12/08/16,2.291,0.401,1.89,0.401,0.23,0.23,0.23
K15SP(s)14,Salix pulchra,1,Stem,Pika camp,Pika camp,0.536,21/08/15,12/08/16,3.249,0.431,2.795,0.454,0.2,0.15,0.17
K15SP(s)15,Salix pulchra,1,Stem,Pika camp,Pika camp,0.478,21/08/15,12/08/16,2.355,0.371,1.974,0.381,0.22,0.2,0.21
K15SP(s)16,Salix pulchra,2,Stem,Pika camp,Pika camp,0.508,21/08/15,12/08/16,3.465,0.507,2.945,0.52,0,-0.02,-0.01
K15SP(s)17,Salix pulchra,2,Stem,Pika camp,Pika camp,0.484,21/08/15,12/08/16,2.485,0.407,2.055,0.43,0.16,0.11,0.14
K15SP(s)18,Salix pulchra,2,Stem,Pika camp,Pika camp,0.478,21/08/15,12/08/16,2.53,0.473,2.036,0.494,0.01,-0.03,-0.01
K15SP(s)19,Salix pulchra,2,Stem,Pika camp,Pika camp,0.543,21/08/15,12/08/16,2.625,0.478,2.141,0.484,0.12,0.11,0.11
K15SP(s)20,Salix pulchra,2,Stem,Pika camp,Pika camp,0.501,21/08/15,12/08/16,2.436,0.415,2.019,0.417,0.17,0.17,0.17
K15PV(l)1,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.538,21/08/15,08/08/17,4.214,0.12,4.078,0.136,78%,75%,0.76
K15PV(l)2,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.526,21/08/15,08/08/17,4.292,0.151,4.127,0.165,71%,69%,0.7
K15PV(l)3,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.5,21/08/15,08/08/17,4.424,0.17,4.258,0.166,66%,67%,0.66
K15PV(l)4,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.531,21/08/15,08/08/17,4.22,0.193,4.009,0.211,64%,60%,0.62
K15PV(l)5,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.507,21/08/15,08/08/17,4.525,0.203,4.327,0.198,60%,61%,0.6
K15PV(l)6,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.481,21/08/15,08/08/17,4.13,0.164,3.955,0.175,66%,64%,0.65
K15PV(l)7,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.493,21/08/15,08/08/17,4.2066,0.161,4.053,0.1536,67%,69%,0.68
K15PV(l)8,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.531,21/08/15,08/08/17,4.009,0.056,3.954,0.055,89%,90%,0.9
K15PV(l)9,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.527,21/08/15,08/08/17,4.013,0.114,3.89,0.123,78%,77%,0.78
K15PV(l)10,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.518,21/08/15,08/08/17,4.101,0.174,3.909,0.192,66%,63%,0.65
K15PV(l)11,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.533,21/08/15,12/08/16,4.499,0.237,4.234,0.265,0.56,0.5,0.53
K15PV(l)12,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.502,21/08/15,12/08/16,4.538,0.218,4.303,0.235,0.57,0.53,0.55
K15PV(l)13,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.546,21/08/15,12/08/16,4.509,0.235,4.212,0.297,0.57,0.46,0.51
K15PV(l)14,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.471,21/08/15,12/08/16,4.371,0.151,4.191,0.18,0.68,0.62,0.65
K15PV(l)15,Pedicullaris vertillus,1,Leaf,Pika camp,Pika camp,0.525,21/08/15,12/08/16,4.6,0.236,4.322,0.278,0.55,0.47,0.51
K15PV(l)16,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.53,21/08/15,12/08/16,4.549,0.25,4.253,0.296,0.53,0.44,0.48
K15PV(l)17,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.484,21/08/15,12/08/16,4.545,0.221,4.304,0.241,0.54,0.5,0.52
K15PV(l)18,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.486,21/08/15,12/08/16,4.573,0.205,4.329,0.244,0.58,0.5,0.54
K15PV(l)19,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.516,21/08/15,12/08/16,4.579,0.204,4.344,0.235,0.6,0.54,0.57
K15PV(l)20,Pedicullaris vertillus,2,Leaf,Pika camp,Pika camp,0.489,21/08/15,12/08/16,4.369,0.228,4.101,0.268,0.53,0.45,0.49
K15Si1,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.482,21/08/15,08/08/17,4.631,0.402,4.223,0.408,17%,15%,0.16
K15Si2,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.522,21/08/15,08/08/17,4.579,0.429,4.151,0.428,18%,18%,0.18
K15Si3,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.545,21/08/15,08/08/17,4.613,0.439,4.166,0.447,19%,18%,0.19
K15Si4,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.487,21/08/15,08/08/17,4.581,0.414,4.167,0.414,15%,15%,0.15
K15Si5,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.546,21/08/15,08/08/17,4.511,0.418,4.094,0.417,23%,24%,0.24
K15Si6,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.482,21/08/15,08/08/17,4.434,0.363,4.061,0.373,25%,23%,0.24
K15Si7,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.492,21/08/15,08/08/17,4.448,0.395,4.04,0.408,20%,17%,0.18
K15Si8,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.532,21/08/15,08/08/17,4.529,0.409,4.118,0.411,23%,23%,0.23
K15Si9,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.526,21/08/15,08/08/17,4.681,0.421,4.239,0.442,20%,16%,0.18
K15Si10,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.516,21/08/15,08/08/17,4.615,0.394,4.217,0.398,24%,23%,0.23
K15Si11,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.502,21/08/15,12/08/16,4.776,0.414,4.342,0.434,0.18,0.14,0.16
K15Si12,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.532,21/08/15,12/08/16,4.756,0.434,4.286,0.47,0.18,0.12,0.15
K15Si13,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.539,21/08/15,12/08/16,4.827,0.497,4.301,0.526,0.08,0.02,0.05
K15Si14,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.525,21/08/15,12/08/16,4.841,0.446,4.361,0.48,0.15,0.09,0.12
K15Si15,Silene acualis,1,Leaf,Pika camp / Kluane plateau,Pika camp,0.507,21/08/15,12/08/16,4.803,0.452,4.307,0.496,0.11,0.02,0.07
K15Si16,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.487,21/08/15,12/08/16,4.673,0.373,4.285,0.388,0.23,0.2,0.22
K15Si17,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.502,21/08/15,12/08/16,4.677,0.393,4.272,0.405,0.22,0.19,0.21
K15Si18,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.475,21/08/15,12/08/16,4.794,0.361,4.406,0.388,0.24,0.18,0.21
K15Si19,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.516,21/08/15,12/08/16,4.669,0.447,4.205,0.464,0.13,0.1,0.12
K15Si20,Silene acualis,2,Leaf,Pika camp / Kluane plateau,Pika camp,0.544,21/08/15,12/08/16,4.77,0.443,4.315,0.455,0.19,0.16,0.17
K15SA(s)1,Salix arctica,1,Stem,Pika camp,Pika camp,0.483,21/08/15,08/08/17,2.645,0.301,2.338,0.307,38%,36%,0.37
K15SA(s)2,Salix arctica,1,Stem,Pika camp,Pika camp,0.519,21/08/15,08/08/17,2.675,0.3,2.37,0.305,42%,41%,0.42
K15SA(s)3,Salix arctica,1,Stem,Pika camp,Pika camp,0.53,21/08/15,08/08/17,2.702,0.326,2.375,0.327,38%,38%,0.38
K15SA(s)4,Salix arctica,1,Stem,Pika camp,Pika camp,0.493,21/08/15,08/08/17,2.33,0.316,2.011,0.319,36%,35%,0.36
K15SA(s)5,Salix arctica,1,Stem,Pika camp,Pika camp,0.524,21/08/15,08/08/17,2.657,0.304,2.346,0.311,42%,41%,0.41
K15SA(s)6,Salix arctica,2,Stem,Pika camp,Pika camp,0.532,21/08/15,08/08/17,2.98,0.323,2.652,0.328,39%,38%,0.39
K15SA(s)7,Salix arctica,2,Stem,Pika camp,Pika camp,0.499,21/08/15,08/08/17,2.515,0.279,2.232,0.283,44%,43%,0.44
K15SA(s)8,Salix arctica,2,Stem,Pika camp,Pika camp,0.472,21/08/15,08/08/17,2.546,0.262,2.282,0.264,44%,44%,0.44
K15SA(s)9,Salix arctica,2,Stem,Pika camp,Pika camp,0.475,21/08/15,08/08/17,2.729,0.279,2.443,0.286,41%,40%,0.41
K15SA(s)10,Salix arctica,2,Stem,Pika camp,Pika camp,0.51,21/08/15,08/08/17,2.638,0.308,2.324,0.314,40%,38%,0.39
K15SA(s)11,Salix arctica,1,Stem,Pika camp,Pika camp,0.549,21/08/15,12/08/16,2.754,0.426,2.32,0.434,0.22,0.21,0.22
K15SA(s)12,Salix arctica,1,Stem,Pika camp,Pika camp,0.471,21/08/15,12/08/16,2.532,0.319,2.198,0.334,0.32,0.29,0.31
K15SA(s)13,Salix arctica,1,Stem,Pika camp,Pika camp,0.475,21/08/15,12/08/16,2.472,0.326,2.142,0.33,0.31,0.31,0.31
K15SA(s)14,Salix arctica,1,Stem,Pika camp,Pika camp,0.524,21/08/15,12/08/16,2.555,0.376,2.173,0.382,0.28,0.27,0.28
K15SA(s)15,Salix arctica,1,Stem,Pika camp,Pika camp,0.495,21/08/15,12/08/16,2.606,0.328,2.273,0.333,0.34,0.33,0.33
K15SA(s)16,Salix arctica,2,Stem,Pika camp,Pika camp,0.495,21/08/15,12/08/16,2.687,0.348,2.331,0.356,0.3,0.28,0.29
K15SA(s)17,Salix arctica,2,Stem,Pika camp,Pika camp,0.502,21/08/15,12/08/16,2.421,0.358,2.056,0.365,0.29,0.27,0.28
K15SA(s)18,Salix arctica,2,Stem,Pika camp,Pika camp,0.475,21/08/15,12/08/16,2.786,0.36,2.412,0.374,0.24,0.21,0.23
K15SA(s)19,Salix arctica,2,Stem,Pika camp,Pika camp,0.487,21/08/15,12/08/16,2.663,0.362,2.272,0.391,0.26,0.2,0.23
K15SA(s)20,Salix arctica,2,Stem,Pika camp,Pika camp,0.492,21/08/15,12/08/16,2.581,0.379,2.187,0.394,0.23,0.2,0.21
K15RG(l)1,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.519,21/08/15,08/08/17,4.503,0.354,4.144,0.359,32%,31%,0.31
K15RG(l)2,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.501,21/08/15,08/08/17,4.639,0.356,4.283,0.356,29%,29%,0.29
K15RG(l)3,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.495,21/08/15,08/08/17,4.478,0.347,4.118,0.36,30%,27%,0.29
K15RG(l)4,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.504,21/08/15,08/08/17,4.541,0.361,4.171,0.37,28%,27%,0.27
K15RG(l)5,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.496,21/08/15,08/08/17,4.639,0.371,4.251,0.388,25%,22%,0.23
K15RG(l)6,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.511,21/08/15,08/08/17,4.453,0.363,4.075,0.378,29%,26%,0.27
K15RG(l)7,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.502,21/08/15,08/08/17,4.605,0.384,4.204,0.401,24%,20%,0.22
K15RG(l)8,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.505,21/08/15,08/08/17,4.729,0.375,4.347,0.382,26%,24%,0.25
K15RG(l)9,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.529,21/08/15,08/08/17,4.705,0.4,4.274,0.431,24%,19%,0.21
K15RG(l)10,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.512,21/08/15,08/08/17,4.821,0.431,4.383,0.438,16%,14%,0.15
K15RG(l)11,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.505,21/08/15,12/08/16,4.701,0.398,4.272,0.429,0.21,0.15,0.18
K15RG(l)12,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.536,21/08/15,12/08/16,4.704,0.405,4.279,0.425,0.24,0.21,0.23
K15RG(l)13,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.493,21/08/15,12/08/16,4.579,0.373,4.176,0.403,0.24,0.18,0.21
K15RG(l)14,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.687,0.383,4.259,0.428,0.23,0.14,0.19
K15RG(l)15,Rhododendron groenlandica,1,Leaf,Pika camp,Pika camp,0.484,21/08/15,12/08/16,4.602,0.354,4.24,0.362,0.27,0.25,0.26
K15RG(l)16,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.534,21/08/15,12/08/16,4.757,0.395,4.34,0.417,0.26,0.22,0.24
K15RG(l)17,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.502,21/08/15,12/08/16,4.67,0.376,4.284,0.386,0.25,0.23,0.24
K15RG(l)18,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.495,21/08/15,12/08/16,4.693,0.406,4.269,0.424,0.18,0.14,0.16
K15RG(l)19,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.544,21/08/15,12/08/16,4.809,0.433,4.363,0.446,0.2,0.18,0.19
K15RG(l)20,Rhododendron groenlandica,2,Leaf,Pika camp,Pika camp,0.508,21/08/15,12/08/16,4.806,0.399,4.413,0.393,0.21,0.23,0.22
K15SA(l)1,Salix arctica,1,Leaf,Pika camp,Pika camp,0.52,21/08/15,08/08/17,4.578,0.3,4.271,0.307,42%,41%,0.42
K15SA(l)2,Salix arctica,1,Leaf,Pika camp,Pika camp,0.486,21/08/15,08/08/17,4.611,0.304,4.292,0.319,37%,34%,0.36
K15SA(l)3,Salix arctica,1,Leaf,Pika camp,Pika camp,0.494,21/08/15,08/08/17,4.531,0.293,4.225,0.306,41%,38%,0.39
K15SA(l)4,Salix arctica,1,Leaf,Pika camp,Pika camp,0.508,21/08/15,08/08/17,4.478,0.331,4.143,0.335,35%,34%,0.34
